股票代码,股票名称,交易所,来源指数,分红次数
601958,金钼股份,沪市主板,中证红利质量,16
603040,新坐标,沪市主板,中证红利质量,13
603195,公牛集团,沪市主板,中证红利质量,6
603203,快克智能,沪市主板,中证红利质量,9
603259,药明康德,沪市主板,中证红利质量,9
603317,天味食品,沪市主板,中证红利质量,7
603380,易德龙,沪市主板,中证红利质量,8
603508,思维列控,沪市主板,中证红利质量,12
603816,顾家家居,沪市主板,中证红利质量,9
603871,嘉友国际,沪市主板,中证红利质量,9
605028,世茂能源,沪市主板,中证红利质量,7
605099,共创草坪,沪市主板,中证红利质量,5
605118,力鼎光电,沪市主板,中证红利质量,7
605599,菜百股份,沪市主板,中证红利质量,4
920509,同惠电子,其他,中证红利质量,0
000400,许继电气,深市主板,红利增长,24
000404,长虹华意,深市主板,红利增长,15
000563,陕国投A,深市主板,红利增长,26
000568,泸州老窖,深市主板,红利增长,30
000596,古井贡酒,深市主板,红利增长,43
000729,燕京啤酒,深市主板,红利增长,27
000786,北新建材,深市主板,红利增长,28
000858,五 粮 液,深市主板,红利增长,24
000988,华工科技,深市主板,红利增长,23
000999,华润三九,深市主板,红利增长,22
002017,东信和平,深市主板,红利增长,17
002028,思源电气,深市主板,红利增长,21
002046,国机精工,深市主板,红利增长,19
002078,太阳纸业,深市主板,红利增长,19
002096,易普力,深市主板,红利增长,19
002158,汉钟精机,深市主板,红利增长,18
002179,中航光电,深市主板,红利增长,18
002262,恩华药业,深市主板,红利增长,17
002318,久立特材,深市主板,红利增长,16
