股票代码,股票简称,概念板块,行业板块,数据季度
600502,安徽建工,PPP模式;一带一路;基金重仓;央国企改革;工程建设;房屋检测;新型城镇化;水利建设;海绵城市;红利破净股;红利股;绿色电力;装配建筑;长期破净,基建市政工程;基础建设;建筑装饰,2026Q2
600519,贵州茅台,味蕾经济;央国企改革;电商概念;白酒;茅指数;西部大开发;超级品牌;酿酒概念,白酒Ⅱ;白酒Ⅲ;食品饮料,2026Q2
600546,山煤国际,上证380;中证500;内贸流通;参股银行;反内卷概念;央国企改革;小盘价值;小盘股;红利股;超超临界发电,动力煤;煤炭;煤炭开采,2026Q2
600549,厦门钨业,MLCC;上证380;东方财富热股;中证500;动力电池回收;可控核聚变;固态电池;央国企改革;小金属概念;新材料;机器人概念;氢能源;独角兽;电池技术;稀土永磁;稀缺资源;锂电池概念,小金属;有色金属;钨,2026Q2
600562,国睿科技,5G概念;PPP模式;上证380;中盘股;中证500;低空经济;军工;军民融合;华为概念;可控核聚变;商业航天;大飞机;央国企改革;无人驾驶;通信技术;长江三角,军工电子Ⅱ;军工电子Ⅲ;国防军工,2026Q2
600582,天地科技,F5G概念;上证380;中特估;中证500;人工智能;央国企改革;小盘价值;小盘股;新能源;机器人概念;煤化工概念;破净股;节能环保;通信技术,专用设备;机械设备;能源及重型设备,2026Q2
600585,海螺水泥,AH股;一带一路;储能概念;反内卷概念;周期股;大盘价值;央国企改革;破净股;红利破净股;红利股;装配建筑;铁路基建;长期破净;雅下水电概念,建筑材料;水泥;水泥制造,2026Q2
600600,青岛啤酒,AH股;味蕾经济;啤酒概念;大盘价值;央国企改革;新零售;股权激励;超级品牌;酿酒概念,啤酒;非白酒;食品饮料,2026Q2
600660,福耀玻璃,AH股;光伏概念;周期股;小米汽车;特斯拉概念;贬值受益,汽车;汽车零部件;车身附件及饰件,2026Q2
600690,海尔智家,AH股;净水概念;大盘价值;工业互联;智能家居;物联网;电商概念;空气能热泵;节能环保;茅指数;超级品牌;阿里概念,冰洗;家用电器;白色家电,2026Q2
600729,重庆百货,上证380;互联网金融;内贸流通;小盘价值;小盘股;小米汽车;成渝特区;电商概念;红利股;西部大开发,一般零售;商贸零售;多业态零售,2026Q2
600737,中粮糖业,上证380;中字头;中盘成长;中盘股;中证500;乡村振兴;农业种植;味蕾经济;央国企改革;西部大开发;调味品概念,其他农产品加工;农产品加工;农林牧渔,2026Q2
600741,华域汽车,养老金;参股券商;周期股;固态电池;大盘价值;央国企改革;小米汽车;新能源车;无人驾驶;毫米波概念;沪企改革;特斯拉概念;电池技术;破净股;长期破净,汽车;汽车零部件;车身附件及饰件,2026Q2
600750,华润江中,上证380;中药概念;参股银行;央国企改革;小盘价值;小盘股;白酒;红利股,中药Ⅱ;中药Ⅲ;医药生物,2026Q2
600755,厦门国贸,DeepSeek概念;一带一路;上证380;内贸流通;参股券商;参股期货;参股银行;央国企改革;小盘价值;小盘股;破净股;红利破净股;红利股;统一大市场;股权激励;长期破净,交通运输;原材料供应链服务;物流,2026Q2
